"date","county","county.1","date.1","alive.total","alive.suspect","alive.probable","dead.total","cum.total","cum.suspect","cum.probable","cum.confirm","cum.death","new.hcw.cases","new.hcw.deaths","cum.hcw.cases","cum.hcw.deaths","new.contacts","under.followup","seen.on.day","completed.21d.followup","lost.followup","alive.confirm","dead.suspect","dead.probable","dead.community","dead.patients"
2014-12-07,"Margibi","Margibi",2014-12-07,0,0,0,0,1254,415,474,365,550,NA,NA,71,38,0,1764,1579,0,185,0,0,0,0,0
2014-12-07,"Maryland","Maryland",2014-12-07,0,0,0,0,21,15,2,4,17,NA,NA,1,0,0,10,10,6,0,0,0,0,0,0
2014-12-07,"Montserrado","Montserrado",2014-12-07,7,5,2,0,4181,1744,807,1630,1698,NA,NA,179,83,84,3438,3433,50,0,5,0,0,0,4
2014-12-07,"National","National",2014-12-07,9,6,3,1,7765,3067,1829,2869,3222,NA,NA,366,177,84,5980,5703,92,198,7,1,0,0,4
2014-12-07,"Nimba","Nimba",2014-12-07,0,0,0,1,322,80,128,114,53,NA,NA,12,2,0,0,0,0,0,0,1,0,0,0
2014-12-07,"River Cess","River Cess",2014-12-07,0,0,0,0,41,9,12,20,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,"River Gee","River Gee",2014-12-07,0,0,0,0,19,7,5,7,8,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,"Sinoe","Sinoe",2014-12-07,0,0,0,0,37,18,3,16,14,NA,NA,1,0,0,46,46,0,0,0,0,0,0,0
2014-12-08,"Bomi","Bomi",2014-12-08,0,0,0,1,292,83,74,135,158,NA,NA,18,14,0,112,112,0,1,0,1,0,0,1
2014-12-08,"Bong","Bong",2014-12-08,1,1,0,1,557,390,32,135,125,NA,NA,41,16,0,40,40,0,0,0,1,0,0,0
2014-12-08,"Gbarpolu","Gbarpolu",2014-12-08,0,0,0,0,39,26,3,10,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,"Grand Bassa","Grand Bassa",2014-12-08,0,0,0,0,154,43,70,41,68,NA,NA,8,4,0,40,10,30,2,0,0,0,0,0
2014-12-08,"Grand Cape Mount","Grand Cape Mount",2014-12-08,5,3,2,5,164,48,49,67,84,NA,NA,10,4,20,339,328,11,0,1,5,0,0,0
2014-12-08,"Grand Gedeh","Grand Gedeh",2014-12-08,0,0,0,0,10,8,0,2,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,"Grand Kru","Grand Kru",2014-12-08,0,0,0,0,36,14,18,4,27,NA,NA,0,0,0,78,0,38,10,0,0,0,0,0
2014-12-08,"Lofa","Lofa",2014-12-08,0,0,0,0,644,171,148,325,384,NA,NA,22,16,0,0,0,0,0,0,0,0,0,0
2014-12-08,"Margibi","Margibi",2014-12-08,5,5,0,1,1256,412,465,379,551,NA,NA,71,38,13,962,608,0,0,1,1,0,0,0
2014-12-08,"Maryland","Maryland",2014-12-08,0,0,0,0,21,15,2,4,17,NA,NA,1,0,0,10,10,6,0,0,0,0,0,0
2014-12-08,"Montserrado","Montserrado",2014-12-08,12,6,6,3,4194,1730,797,1667,1725,NA,NA,179,83,115,3411,3390,147,0,2,3,0,0,1
2014-12-08,"National","National",2014-12-08,23,15,8,12,7786,3054,1805,2927,3255,NA,NA,366,177,148,4998,4510,232,37,4,12,0,0,2
2014-12-08,"Nimba","Nimba",2014-12-08,0,0,0,0,320,78,128,114,53,NA,NA,12,2,0,0,0,0,0,0,0,0,0,0
2014-12-08,"River Cess","River Cess",2014-12-08,0,0,0,0,41,9,12,20,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,"River Gee","River Gee",2014-12-08,0,0,0,0,19,7,4,8,8,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,"Sinoe","Sinoe",2014-12-08,0,0,0,1,39,20,3,16,14,NA,NA,1,0,0,46,22,0,24,0,1,0,0,0
2014-12-09,"Bomi","Bomi",2014-12-09,0,0,0,0,293,82,74,137,158,NA,NA,NA,18,0,112,112,0,1,0,0,0,0,0
2014-12-09,"Bong","Bong",2014-12-09,6,6,0,0,557,390,32,135,125,NA,NA,14,41,0,40,40,0,0,1,0,0,0,0
2014-12-09,"Gbarpolu","Gbarpolu",2014-12-09,0,0,0,0,39,26,3,10,10,NA,NA,16,0,0,0,0,8,0,0,0,0,0,0
